[ 2025-12-20 22:29:54,408] 19 root - INFO - Initiate the Data ingestion
[ 2025-12-20 22:29:57,840] 60 root - INFO - Performed train-test split on the data frame
[ 2025-12-20 22:29:57,840] 61 root - INFO - Exited split_data_as_train_test method of Data_Ingestion Class
[ 2025-12-20 22:29:57,841] 66 root - INFO - Exporting train test file path
[ 2025-12-20 22:29:57,893] 70 root - INFO - Exported train and test file path
[ 2025-12-20 22:29:57,894] 21 root - INFO - Data Ingestion completed
[ 2025-12-20 22:29:57,902] 25 root - INFO - Initiate the data validation
[ 2025-12-20 22:29:57,974] 31 root - INFO - Required number of columns :2
[ 2025-12-20 22:29:58,005] 32 root - INFO - Data frame has columns:31
[ 2025-12-20 22:29:58,005] 31 root - INFO - Required number of columns :2
[ 2025-12-20 22:29:58,005] 32 root - INFO - Data frame has columns:31
[ 2025-12-20 22:29:58,153] 27 root - INFO - Data validation completed
[ 2025-12-20 22:29:58,153] 30 root - INFO - data transformation started
[ 2025-12-20 22:29:58,153] 59 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-20 22:29:58,153] 61 root - INFO - Starting data transformation
[ 2025-12-20 22:29:58,196] 48 root - INFO - Entered get_data_transformer_object method of Transformation clsass
[ 2025-12-20 22:29:58,196] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-20 22:29:58,251] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-20 22:29:58,259] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-20 22:29:58,263] 34 root - INFO - data transformation completed
[ 2025-12-20 22:29:58,263] 35 root - INFO - Model Training Started
[ 2025-12-20 22:50:40,658] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-20 22:50:40,698] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-20 22:50:40,698] 97 root - INFO - Model Trainer Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\12_20_2025_22_29_52\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911540416878495, precision_score=0.9874392220421394, recall_score=0.9948969177383139), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.977760127084988, precision_score=0.976984126984127, recall_score=0.9785373608903021))
[ 2025-12-20 22:50:40,702] 39 root - INFO - Model Training artifact created
