[ 2025-12-20 22:26:00,081] 19 root - INFO - Initiate the Data ingestion
[ 2025-12-20 22:26:03,557] 60 root - INFO - Performed train-test split on the data frame
[ 2025-12-20 22:26:03,557] 61 root - INFO - Exited split_data_as_train_test method of Data_Ingestion Class
[ 2025-12-20 22:26:03,559] 66 root - INFO - Exporting train test file path
[ 2025-12-20 22:26:03,612] 70 root - INFO - Exported train and test file path
[ 2025-12-20 22:26:03,613] 21 root - INFO - Data Ingestion completed
[ 2025-12-20 22:26:03,640] 25 root - INFO - Initiate the data validation
[ 2025-12-20 22:26:03,717] 31 root - INFO - Required number of columns :2
[ 2025-12-20 22:26:03,718] 32 root - INFO - Data frame has columns:31
[ 2025-12-20 22:26:03,718] 31 root - INFO - Required number of columns :2
[ 2025-12-20 22:26:03,718] 32 root - INFO - Data frame has columns:31
[ 2025-12-20 22:26:03,882] 27 root - INFO - Data validation completed
[ 2025-12-20 22:26:03,883] 30 root - INFO - data transformation started
[ 2025-12-20 22:26:03,883] 59 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-20 22:26:03,883] 61 root - INFO - Starting data transformation
[ 2025-12-20 22:26:03,912] 48 root - INFO - Entered get_data_transformer_object method of Transformation clsass
[ 2025-12-20 22:26:03,912] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-20 22:26:03,931] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-20 22:26:03,935] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-20 22:26:03,937] 34 root - INFO - data transformation completed
[ 2025-12-20 22:26:03,937] 35 root - INFO - Model Training Started
