[ 2025-12-20 22:26:58,068] 19 root - INFO - Initiate the Data ingestion
[ 2025-12-20 22:27:02,032] 60 root - INFO - Performed train-test split on the data frame
[ 2025-12-20 22:27:02,032] 61 root - INFO - Exited split_data_as_train_test method of Data_Ingestion Class
[ 2025-12-20 22:27:02,033] 66 root - INFO - Exporting train test file path
[ 2025-12-20 22:27:02,099] 70 root - INFO - Exported train and test file path
[ 2025-12-20 22:27:02,101] 21 root - INFO - Data Ingestion completed
[ 2025-12-20 22:27:02,110] 25 root - INFO - Initiate the data validation
[ 2025-12-20 22:27:02,200] 31 root - INFO - Required number of columns :2
[ 2025-12-20 22:27:02,201] 32 root - INFO - Data frame has columns:31
[ 2025-12-20 22:27:02,201] 31 root - INFO - Required number of columns :2
[ 2025-12-20 22:27:02,201] 32 root - INFO - Data frame has columns:31
[ 2025-12-20 22:27:02,356] 27 root - INFO - Data validation completed
[ 2025-12-20 22:27:02,356] 30 root - INFO - data transformation started
[ 2025-12-20 22:27:02,356] 59 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-20 22:27:02,356] 61 root - INFO - Starting data transformation
[ 2025-12-20 22:27:02,387] 48 root - INFO - Entered get_data_transformer_object method of Transformation clsass
[ 2025-12-20 22:27:02,388] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-20 22:27:02,407] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-20 22:27:02,412] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-20 22:27:02,415] 34 root - INFO - data transformation completed
[ 2025-12-20 22:27:02,415] 35 root - INFO - Model Training Started
